gender05,age05,education05,hisp05,race05,income05,party05,marital05,Q9_05,Q10,Q5_05,Q7_05,Q6_05,gender13,age13,educaton13,hisp13,race13,income13,Q1_13,Q2_13,Q3_13,Q4_13,Q5_13,Q6_13,Q7_13,Q8_13,gender15,age15,education15,hisp15,race15,income15,party15,marital15,Q1_15,Q2_15,Q3_15,Q4_15,Q5_15,Q6_15,Q7_15,Q8_15
MALE,47,2,1,1,4,4,1,2, , , , ,FEMALE,74,4,2,9,99, , ,2,2,2,2,9,2,FEMALE,56,3,2,1,1,1,3,2, ,2,2,1,1,2,2
FEMALE,59,5,2,2,6,3,1,1,2,2,2,2,MALE,49,6,2,2,6,2, ,2,2,1,1,2,1,MALE,70,6,2,1,4,3,1, , ,2,2,2,2,1,1
FEMALE,36,6,2,9,6,3,1,1,1,1,2,1,FEMALE,61,8,2,1,99,2, ,1,1,2,2,2,2,MALE,74,6,2,1,4,1,6,2, ,1,2,1,1,1,1
MALE,42,7,2,1,7,2,1,2, ,2,2,2,MALE,83,8,2,1,7,2, ,1,1,1,2,2,2,FEMALE,83,3,1,1,1,2,5,2, ,2,2,2,2,2,1
FEMALE,31,3,2,1,3,3,2,2, ,1,2,1,FEMALE,65,7,2,1,5,2, ,2,2,2,1,1,1,FEMALE,88,4,2,1,98,5,3, , ,8,2,2,2,1,1
FEMALE,28,5,2,1,6,2,1,1,2,1,2,2,MALE,82,4,2,1,3, , ,2,2,1,1,2,8,FEMALE,75,3,2,1,99,1,1,2, ,2,2,2,2,1,2
FEMALE,84,3,2,1,1,3,5,2, , , , ,MALE,62,6,2,1,8,2, ,2,2,2,2,2,2,MALE,60,3,2,1,3,3,1, , ,2,2,1,1,1,2
MALE,28,6,2,3,1,3,1,2, ,2,2,1,MALE,61,3,2,1,2, , ,2,2,2,2,2,2,FEMALE,51,5,2,1,4,1,1,2,2,2,2,2,2,2,9
FEMALE,71,3,2,2,9,2,5,1,2, , , ,MALE,35,5,2,9,9,2,2,1,1,1,1,2,2,FEMALE,85,6,2,1,99,2,1,2, ,2,2,1,1,2,2
FEMALE,37,3,2,2,5,2,6,2, ,1,2,2,FEMALE,43,4,2,1,4,2, ,2,2,2,2,1,2,MALE,72,4,2,1,98,2,1,2,2,2,2,1,1,1,1
MALE,66,3,2,1,4,3,1,2, ,2,1,8,FEMALE,57,4,2,1,4,2, ,1,1,1,1,1,2,MALE,81,3,2,1,3,1,1,2, ,2,2,2,2,1,1
FEMALE,59,5,2,1,3,2,1,2, , , , ,FEMALE,54,4,2,1,7,2, ,1,1,1,1,2,2,FEMALE,22,5,1,2,2,2,6,2,2,2,2,2,2,2,2
FEMALE,88,3,2,1,9,1,5,2, , , , ,MALE,65,3,2,1,6,2, ,2,2,1,1,2,1,MALE,86,3,2,1,8,1,5, , ,2,2,8,2,1,8
MALE,47,5,2,1,8,1,2,2, ,2,1,2,FEMALE,57,3,2,1,5,2, ,2,2,1,1,2,2,MALE,53,8,2,2,9,2,1,2,2,1,1,1,2,2,2
FEMALE,72,5,2,2,9,2,5,2, , , , ,MALE,60,4,2,1,8,1, ,1,1,1,1,2,2,FEMALE,18,3,2,1,8,2,6,2,2,2,2,1,1,2,2
FEMALE,35,3,2,2,2,2,6,2, , , , ,FEMALE,48,3,2,1,6, , ,2,2,1,1,2,1,MALE,25,4,1,4,98,3,6,2,2,1,1,1,1,1,1
FEMALE,85,5,2,1,9,2,3,2, , , , ,FEMALE,87,3,2,1,4, , ,2,2,1,1,2,2,MALE,79,4,9,9,3,1,5,2,2,2,2,1,1,8,8
FEMALE,42,6,2,2,5,2,1,2, ,2,2,2,MALE,58,5,2,1,9,2, ,1,1,1,2,2,2,FEMALE,66,7,2,2,1,2,6, , ,2,2,1,1,2,2
